,result,director,first_hero,second_hero,first_heroien,second_heroien,multi_starer,music,back_ground,cinematographer,editor,audio,songs,genre,production_no1,production_no2,production_no3,combined_production,distributed_by,month,run_time,art_director,fight_master_one,fight_master_two,fight_master_three,poster,budget
55,flop,level-5,no hero,level-3,level-1,no heroien,no,level-2,level-2,level-3,level-5,sony,more than 6,m,level-6,level-4,new,yes,top,january,150 and above,level-3,no one,no one,level-5,level-2,very high
56,flop,level-5,level-3,no hero,no heroien,level-1,no,level-2,level-2,level-3,level-5,sony,more than 6,m,level-4,level-6,new,yes,top,january,120 and above,level-3,level-5,no one,no one,level-2,very high
57,industry hit,level-3,level-4,level-3,level-4,level-4,yes,level-1,level-1,level-2,level-2,aditya music,exactly 6,l,no one,level-1,no one,no,top,january,150 and above,level-1,level-2,foreign,foreign,level-1,very high
58,flop,level-2,level-2,no hero,level-2,no heroien,no,level-1,level-1,more than one(experience),more than one(experience),lahari music,less than6,a,no one,level-1,no one,no,top,january,130 and above,level-1,no one,level-2,no one,level-2,very high
59,hit,level-15,level-3,no hero,old,no heroien,no,level-6,level-6,level-5,level-1,mango music,exactly 6,m,level-15,no one,no one,no,normal,february,130 and above,level-2,level-1,no one,level-3,level-1,medium
60,average,level-9,level-7,no hero,seasonal,level-3,no,level-1,level-1,level-6,level-2,sony,exactly 6,l,no one,level-5,no one,no,top,january,130 and above,level-2,level-1,level-3,no one,level-1,high
61,flop,level-14,level-9,no hero,level-6,level-5,no,level-8,level-8,level-4,level-2,aditya music,less than6,b,no one,level-14,no one,no,normal,march,120 and above,level-4,level-3,level-4,level-2,level-1,medium
62,disaster,new,new,new,no heroien,no heroien,yes,level-3,level-3,new,level-6,aditya music,exactly 6,ac,new,no one,no one,no,low,february,130 and above,new,new,no one,no one,new,very low
63,super hit,level-7,level-5,no hero,new,level-2,no,level-2,level-2,level-7,level-3,aditya music,exactly 6,l,level-8,no one,no one,no,top,april,150 and above,level-3,no one,level-4,level-2,level-2,medium
64,flop,more than one,new,no hero,new,no heroien,no,level-7,level-7,level-10,new,mango music,more than 6,m,new,no one,no one,no,low,march,150 and above,new,no fights,no one,no one,level-1,low
65,super hit,level-8,no hero,level-5,level-3,level-7,no,level-1,level-1,level-4,level-1,sony,less than6,q,no one,no one,level-2,no,top,april,120 and above,level-1,new,level-2,no one,level-1,medium
66,flop,new,new,no hero,new,no heroien,no,new,level-9,level-15,level-9,idream music,less than6,q,new,no one,no one,no,low,may,120 and above,new,new,no one,no one,new,low
67,hit,level-7,level-4,no hero,no heroien,level-5,no,level-1,level-1,level-7,level-2,zee music south,more than 6,w,no one,level-4,no one,no,top,april,150 and above,level-2,level-4,new,no one,level-1,high
68,average,new,level-8,no hero,no heroien,level-10,no,level-9,level-9,level-12,level-2,madhura audio,less than6,l,level-13,no one,no one,no,top,may,130 and above,new,new,no one,no one,level-2,medium
69,industry hit,level-4,level-1,level-11,seasonal,level-1,yes,level-1,level-1,level-3,level-2,aditya music,more than 6,c,level-5,level-3,level-1,yes,top,may,150 and above,level-1,level-1,no one,no one,level-1,very high
70,average,new,level-8,no hero,new,new,no,level-3,level-3,new,level-6,lahari music,less than6,b,new,new,new,yes,normal,may,130 and above,more than one,level-4,no one,no one,new,medium
